Credit_Creation_Month,MOB,OVER_30
2025-01-31,15,0.1246
2025-01-31,16,0.1238
2025-01-31,17,0.0911
2025-01-31,18,0.0599
2025-02-28,2,0.0857
2025-02-28,3,0.1127
2025-02-28,4,0.1337
2025-02-28,5,0.1509
2025-02-28,6,0.1636
2025-02-28,7,0.1733
2025-02-28,8,0.18
2025-02-28,9,0.1832
2025-02-28,10,0.1842
2025-02-28,11,0.1844
2025-02-28,12,0.184
2025-02-28,13,0.1804
2025-02-28,14,0.1786
2025-02-28,15,0.1769
2025-02-28,16,0.1321
2025-02-28,17,0.0781
2025-03-31,2,0.0752
2025-03-31,3,0.0925
2025-03-31,4,0.1095
2025-03-31,5,0.1234
2025-03-31,6,0.1378
2025-03-31,7,0.1443
2025-03-31,8,0.1511
2025-03-31,9,0.1555
2025-03-31,10,0.1575
2025-03-31,11,0.1583
2025-03-31,12,0.1577
2025-03-31,13,0.1566
2025-03-31,14,0.1556
2025-03-31,15,0.114
2025-03-31,16,0.063
2025-04-30,2,0.0745
2025-04-30,3,0.0755
2025-04-30,4,0.0793
2025-04-30,5,0.0842
2025-04-30,6,0.0884
2025-04-30,7,0.0902
2025-04-30,8,0.0915
2025-04-30,9,0.0928
2025-04-30,10,0.0929
2025-04-30,11,0.0921
2025-04-30,12,0.0917
2025-04-30,13,0.0912
2025-04-30,14,0.0651
2025-04-30,15,0.0393
2025-05-31,2,0.066
2025-05-31,3,0.0721
2025-05-31,4,0.075
2025-05-31,5,0.0796
2025-05-31,6,0.0833
2025-05-31,7,0.0848
2025-05-31,8,0.0871
2025-05-31,9,0.0861
2025-05-31,10,0.0868
2025-05-31,11,0.087
2025-05-31,12,0.0892
2025-05-31,13,0.0711
2025-05-31,14,0.0469
2025-06-30,2,0.0727
2025-06-30,3,0.0917
2025-06-30,4,0.1105
2025-06-30,5,0.127
2025-06-30,6,0.1436
2025-06-30,7,0.1544
2025-06-30,8,0.1618
2025-06-30,9,0.1702
2025-06-30,10,0.1728
2025-06-30,11,0.1772
2025-06-30,12,0.1454
2025-06-30,13,0.0798
2025-07-31,2,0.0878
2025-07-31,3,0.1003
2025-07-31,4,0.1121
2025-07-31,5,0.1233
2025-07-31,6,0.1284
2025-07-31,7,0.1347
2025-07-31,8,0.1378
2025-07-31,9,0.139
2025-07-31,10,0.1416
2025-07-31,11,0.1215
2025-07-31,12,0.0714
2025-08-31,2,0.0836
2025-08-31,3,0.0944
2025-08-31,4,0.1029
2025-08-31,5,0.1121
